Title,Author,Genre,SubGenre,Height,Category
Integration of the Indian States,"Menon, V P",nonfiction,history,217,nonfiction history
"Outsider, The","Camus, Albert",fiction,classic,198,fiction classic
Urlasurla,Deshpande P L,fiction,novel,211,fiction novel
Girl who kicked the Hornet's Nest,"Larsson, Steig",fiction,novel,179,fiction novel
Superman Earth One - 1,"Said, Edward",fiction,comic,259,fiction comic
Orientalism,"Said, Edward",nonfiction,history,197,nonfiction history
Mein Kampf,"Hitler, Adolf",nonfiction,autobiography,212,nonfiction autobiography
Selected Short Stories,"Said, Edward",fiction,classic,215,fiction classic
"Information, The","Gleick, James",science,mathematics,233,science mathematics
Half A Life,"Naipaul, V S",fiction,novel,196,fiction novel
"Ropemaker, The","Dickinson, Peter",fiction,novel,196,fiction novel
Rationality & Freedom,"Sen, Amartya",science,economics,213,science economics
Data Scientists at Work,Sebastian Gutierrez,tech,data_science,230,tech data_science
Let Us C,"Kanetkar, Yashwant",tech,computer_science,213,tech computer_science
"Death of Superman, The","Said, Edward",fiction,comic,258,fiction comic
"Journal of Economics, vol 106 No 3","Said, Edward",science,economics,235,science economics
"Devil's Advocate, The","West, Morris",fiction,novel,178,fiction novel
Fundamentals of Wavelets,"Goswami, Jaideva",tech,signal_processing,228,tech signal_processing
Dongri to Dubai,"Zaidi, Hussain",nonfiction,history,216,nonfiction history
"Justice, Judiciary and Democracy","Ranjan, Sudhanshu",nonfiction,legal,224,nonfiction legal
All the President's Men,"Woodward, Bob",nonfiction,history,177,nonfiction history
Empire of the Mughal - Ruler of the World,"Rutherford, Alex",nonfiction,history,180,nonfiction history
Crime and Punishment,"Dostoevsky, Fyodor",fiction,classic,180,fiction classic
"Hidden Connections, The","Capra, Fritjof",science,physics,197,science physics
"Age of the Warrior, The","Fisk, Robert",nonfiction,history,197,nonfiction history
Jurassic Park,"Crichton, Michael",fiction,novel,174,fiction novel
Unpopular Essays,"Russell, Bertrand",philosophy,philosophy,198,philosophy philosophy
"Signal and the Noise, The","Silver, Nate",tech,data_science,233,tech data_science
"Grapes of Wrath, The","Steinbeck, John",fiction,classic,196,fiction classic
Elements of Information Theory,"Thomas, Joy",tech,signal_processing,229,tech signal_processing
Manasa,"Kale, V P",nonfiction,misc,213,nonfiction misc
Return of the Primitive,"Rand, Ayn",philosophy,objectivism,202,philosophy objectivism
Ayn Rand Answers,"Rand, Ayn",philosophy,objectivism,203,philosophy objectivism
Journal of a Novel,"Steinbeck, John",fiction,classic,196,fiction classic
New Markets & Other Essays,"Drucker, Peter",science,economics,176,science economics
Empire of the Mughal - The Tainted Throne,"Rutherford, Alex",nonfiction,history,180,nonfiction history
Freakonomics,"Dubner, Stephen",science,economics,197,science economics
Superman Earth One - 2,"Said, Edward",fiction,comic,258,fiction comic
Superfreakonomics,"Dubner, Stephen",science,economics,179,science economics
"Maugham's Collected Short Stories, Vol 3","Maugham, William S",fiction,classic,171,fiction classic
"Complete Mastermind, The",BBC,nonfiction,trivia,178,nonfiction trivia
Simpsons & Their Mathematical Secrets,"Singh, Simon",science,mathematics,233,science mathematics
"History of England, Foundation","Ackroyd, Peter",nonfiction,history,197,nonfiction history
Empire of the Mughal - The Serpent's Tooth,"Rutherford, Alex",nonfiction,history,180,nonfiction history
"Judge, The","Said, Edward",fiction,novel,170,fiction novel
"Moon is Down, The","Steinbeck, John",fiction,classic,196,fiction classic
Beyond Degrees,"Said, Edward",philosophy,education,222,philosophy education
Surely You're Joking Mr Feynman,"Feynman, Richard",science,physics,198,science physics
"Drunkard's Walk, The","Mlodinow, Leonard",science,mathematics,197,science mathematics
We the Living,"Rand, Ayn",fiction,novel,178,fiction novel
Bookless in Baghdad,"Tharoor, Shashi",nonfiction,history,206,nonfiction history
"World's Greatest Trials, The","Said, Edward",nonfiction,history,210,nonfiction history
We the People,Palkhivala,philosophy,philosophy,216,philosophy philosophy
City of Djinns,"Dalrymple, William",nonfiction,history,198,nonfiction history
On Education,"Russell, Bertrand",philosophy,education,203,philosophy education
Image Processing & Mathematical Morphology,"Shih, Frank",tech,signal_processing,241,tech signal_processing
Structure & Interpretation of Computer Programs,"Sussman, Gerald",tech,computer_science,240,tech computer_science
Data Structures Using C & C++,"Tanenbaum, Andrew",tech,computer_science,235,tech computer_science
Broca's Brain,"Sagan, Carl",science,physics,174,science physics
"Trembling of a Leaf, The","Maugham, William S",fiction,novel,205,fiction novel
Data Mining Handbook,"Nisbet, Robert",tech,data_science,242,tech data_science
Mossad,"Baz-Zohar, Michael",nonfiction,history,236,nonfiction history
Scoop!,"Nayar, Kuldip",nonfiction,history,216,nonfiction history
"Arthashastra, The",Kautiyla,philosophy,philosophy,214,philosophy philosophy
Pattern Classification,"Duda, Hart",tech,data_science,241,tech data_science
Think Complexity,"Downey, Allen",tech,data_science,230,tech data_science
More Tears to Cry,"Sassoon, Jean",fiction,novel,235,fiction novel
"Amulet of Samarkand, The","Stroud, Jonathan",fiction,novel,179,fiction novel
Dylan on Dylan,"Dylan, Bob",nonfiction,autobiography,197,nonfiction autobiography
Ashenden of The British Agent,"Maugham, William S",fiction,classic,160,fiction classic
"Brethren, The","Grisham, John",fiction,novel,174,fiction novel
Design with OpAmps,"Franco, Sergio",tech,computer_science,240,tech computer_science
Image Processing with MATLAB,"Eddins, Steve",tech,signal_processing,241,tech signal_processing
Batatyachi Chal,Deshpande P L,fiction,novel,200,fiction novel
Learning OpenCV,"Bradsky, Gary",tech,signal_processing,232,tech signal_processing
Once There Was a War,"Steinbeck, John",nonfiction,history,196,nonfiction history
"Winter of Our Discontent, The","Steinbeck, John",fiction,classic,196,fiction classic
"Analysis, Vol I","Tao, Terence",tech,mathematics,248,tech mathematics
Econometric Analysis,"Greene, W. H.",tech,economics,242,tech economics
Statistical Learning Theory,"Vapnik, Vladimir",tech,data_science,228,tech data_science
Girl who played with Fire,"Larsson, Steig",fiction,novel,179,fiction novel
Political Philosophers,"Said, Edward",philosophy,politics,162,philosophy politics
False Impressions,"Archer, Jeffery",fiction,novel,177,fiction novel
Neural Networks,"Haykin, Simon",tech,data_science,240,tech data_science
Eyeless in Gaza,"Huxley, Aldous",fiction,novel,180,fiction novel
Data Smart,"Foreman, John",tech,data_science,235,tech data_science
Catch 22,"Heller, Joseph",fiction,classic,178,fiction classic
History of the DC Universe,"Said, Edward",fiction,comic,258,fiction comic
"Short History of the World, A","Wells, H G",nonfiction,history,197,nonfiction history
"Life in Letters, A","Steinbeck, John",nonfiction,autobiography,196,nonfiction autobiography
"World's Greatest Short Stories, The","Said, Edward",fiction,classic,217,fiction classic
Doctor in the Nude,"Gordon, Richard",fiction,novel,179,fiction novel
Uncommon Wisdom,"Capra, Fritjof",nonfiction,anthology,197,nonfiction anthology
Freedom at Midnight,"Lapierre, Dominique",nonfiction,history,167,nonfiction history
"Last Mughal, The","Dalrymple, William",nonfiction,history,199,nonfiction history
"Discovery of India, The","Nehru, Jawaharlal",nonfiction,history,230,nonfiction history
"Christmas Carol, A","Dickens, Charles",fiction,classic,196,fiction classic
Making Software,"Oram, Andy",tech,computer_science,232,tech computer_science
"Courtroom Genius, The",Sorabjee,nonfiction,autobiography,217,nonfiction autobiography
"Prisoner of Birth, A","Archer, Jeffery",fiction,novel,176,fiction novel
"Phantom of Manhattan, The","Forsyth, Frederick",fiction,classic,180,fiction classic
"Age of Wrath, The","Eraly, Abraham",nonfiction,history,238,nonfiction history
"Case of the Lame Canary, The","Gardner, Earle Stanley",fiction,novel,179,fiction novel
"World's Great Thinkers, The","Said, Edward",science,physics,189,science physics
Beyond the Three Seas,"Dalrymple, William",nonfiction,history,197,nonfiction history
